"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1461","Validate Council Output [DerbyCityCouncil]","","Wed Jan 29 02:07:01 GMT 2025","passed","Wed Jan 29 02:07:02 GMT 2025","","","",""
"","1243","Validate Council Output [SouthNorfolkCouncil]","","Wed Jan 29 02:27:36 GMT 2025","passed","Wed Jan 29 02:27:37 GMT 2025","","","",""
"","9","Validate Council Output [BaberghDistrictCouncil]","","Wed Jan 29 01:57:48 GMT 2025","passed","Wed Jan 29 01:57:48 GMT 2025","","","",""
"","1412","Validate Council Output [StockportBoroughCouncil]","","Wed Jan 29 02:37:48 GMT 2025","passed","Wed Jan 29 02:37:49 GMT 2025","","","",""
"","302342","Validate Council Output [RushcliffeBoroughCouncil]","","Wed Jan 29 02:21:59 GMT 2025","passed","Wed Jan 29 02:27:02 GMT 2025","","","",""
"","300371","Validate Council Output [StaffordshireMoorlandsDistrictCouncil]","","Wed Jan 29 02:32:47 GMT 2025","failed","Wed Jan 29 02:37:48 GMT 2025","","","",""
"","10613","Validate Council Output [LondonBoroughSutton]","","Wed Jan 29 02:19:15 GMT 2025","passed","Wed Jan 29 02:19:26 GMT 2025","","","",""
"","2824","Validate Council Output [MiltonKeynesCityCouncil]","","Wed Jan 29 02:21:19 GMT 2025","passed","Wed Jan 29 02:21:22 GMT 2025","","","",""
"","14322","Validate Council Output [NorthWestLeicestershire]","","Wed Jan 29 02:26:53 GMT 2025","passed","Wed Jan 29 02:27:08 GMT 2025","","","",""
"","1435","Validate Council Output [AylesburyValeCouncil]","","Wed Jan 29 01:57:47 GMT 2025","passed","Wed Jan 29 01:57:48 GMT 2025","","","",""
"","3651","Validate Council Output [HinckleyandBosworthBoroughCouncil]","","Wed Jan 29 02:18:02 GMT 2025","passed","Wed Jan 29 02:18:05 GMT 2025","","","",""
"","1425","Validate Council Output [SwindonBoroughCouncil]","","Wed Jan 29 02:27:52 GMT 2025","passed","Wed Jan 29 02:27:53 GMT 2025","","","",""
"","10755","Validate Council Output [SomersetCouncil]","","Wed Jan 29 02:27:10 GMT 2025","passed","Wed Jan 29 02:27:21 GMT 2025","","","",""
"","2651","Validate Council Output [DurhamCouncil]","","Wed Jan 29 02:01:57 GMT 2025","passed","Wed Jan 29 02:02:00 GMT 2025","","","",""
"","3660","Validate Council Output [BasingstokeCouncil]","","Wed Jan 29 02:01:40 GMT 2025","passed","Wed Jan 29 02:01:44 GMT 2025","","","",""
"","5696","Validate Council Output [LondonBoroughHounslow]","","Wed Jan 29 02:13:01 GMT 2025","passed","Wed Jan 29 02:13:07 GMT 2025","","","",""
